#Counterrotaton_binning_version_1
2451
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	0	0	0	0
	0	0	0	0	0	0	620	620	620	660
	660	660	660	677	677	677	677	683	689	689
	689	0	0	0	0	0	0	647	647	647
	647	647	647	647	647	647	647	565	565	565
	565	565	535	535	535	535	535	572	572	572
	572	572	572	520	520	520	520	531	531	591
	591	591	620	620	620	620	660	660	660	660
	677	677	677	677	683	683	689	689	0	0
	0	0	0	0	647	647	647	647	647	647
	647	647	647	647	565	565	565	565	565	565
	535	535	535	535	535	572	572	572	572	572
	520	520	520	520	531	531	591	591	591	591
	620	620	620	640	640	660	655	668	668	677
	683	683	683	689	689	0	0	0	0	0
	0	647	647	647	647	647	647	647	647	647
	647	565	565	565	565	565	565	535	535	535
	535	535	572	572	572	572	572	520	520	520
	520	531	531	531	591	591	574	574	612	612
	640	640	640	655	655	668	668	672	683	683
	684	686	686	686	686	688	0	0	647	647
	647	647	647	647	647	647	647	647	565	565
	565	565	565	565	535	535	535	535	535	535
	502	502	502	502	520	520	520	520	531	531
	555	555	555	574	574	612	612	619	636	636
	655	655	661	661	672	672	684	684	686	686
	686	688	688	688	0	647	647	647	647	647
	647	647	647	647	647	565	565	565	565	565
	565	535	535	535	535	535	453	502	502	502
	502	454	454	488	488	500	500	513	555	541
	574	574	576	592	619	619	636	635	645	661
	661	662	674	674	684	686	686	686	688	688
	688	0	647	647	647	647	647	647	647	647
	647	647	565	565	565	565	565	565	565	535
	535	535	535	453	453	502	502	454	454	454
	488	488	500	500	513	513	541	554	554	576
	592	603	603	613	635	645	645	662	662	674
	674	682	682	682	688	688	688	688	0	647
	647	647	647	647	647	647	647	647	647	647
	565	565	565	565	565	565	445	445	535	453
	453	453	431	431	431	454	417	419	423	430
	440	447	464	479	501	515	540	557	571	588
	613	615	628	638	651	663	663	673	673	682
	682	688	688	688	688	0	647	647	647	647
	647	647	647	647	647	647	647	565	565	565
	565	565	445	445	445	445	453	453	453	431
	431	392	417	417	419	423	430	440	447	464
	479	501	515	540	557	571	588	590	615	628
	638	651	651	663	673	673	682	682	676	688
	688	688	0	647	647	647	647	647	647	647
	647	647	567	567	567	565	473	473	473	473
	445	445	445	403	403	378	378	392	392	387
	387	388	388	398	402	418	433	448	468	492
	512	537	556	556	590	596	610	632	632	654
	654	667	667	676	676	676	679	679	679	0
	607	607	647	647	647	647	647	567	567	567
	567	567	567	473	473	473	473	445	445	445
	403	403	378	378	352	367	367	363	364	371
	199	217	234	251	267	282	463	486	511	539
	560	560	596	610	626	626	629	654	667	667
	676	676	676	679	679	679	0	607	607	607
	607	607	607	607	567	567	567	567	567	567
	473	473	473	473	399	399	399	366	366	351
	339	352	345	341	144	163	181	200	218	235
	252	268	283	295	462	489	514	546	552	570
	593	606	629	629	649	649	656	676	676	679
	679	679	679	0	607	607	607	607	607	607
	607	567	567	567	567	567	567	472	472	472
	473	399	399	399	361	366	351	339	332	324
	126	145	164	182	201	219	236	253	269	284
	296	307	466	497	527	552	570	593	606	606
	618	649	649	656	656	656	679	679	679	679
	679	607	607	607	607	607	607	607	607	567
	567	567	567	472	472	472	472	404	404	368
	361	361	334	334	322	90	108	127	146	165
