3301
1   8.2711   3.9083 282.0830   5.2225 6  -0.0127   0.0141   0.0445   0.0163   0.0000   0.0300   0.0000   0.0300
2   0.7730   4.8005 283.8186   5.4771 6  -0.0284   0.0125   0.0247   0.0148   0.0000   0.0300   0.0000   0.0300
3   6.1214   3.8070 282.2219   5.1862 6   0.0085   0.0133   0.0284   0.0154   0.0000   0.0300   0.0000   0.0300
4   7.6189   4.5628 284.4770   5.2031 6   0.0051   0.0139   0.0414   0.0160   0.0000   0.0300   0.0000   0.0300
5  -7.0427   3.9972 282.4810   5.4509 6  -0.0167   0.0141   0.0137   0.0146   0.0000   0.0300   0.0000   0.0300
6 -12.5076   4.1187 279.9931   4.5046 6  -0.0025   0.0133   0.0204   0.0180   0.0000   0.0300   0.0000   0.0300
7  -2.8230   4.3259 272.1632   5.8172 6   0.0250   0.0171   0.0323   0.0231   0.0000   0.0300   0.0000   0.0300
8  -5.7480   3.4854 257.3870   4.3457 6  -0.0033   0.0149   0.0262   0.0167   0.0000   0.0300   0.0000   0.0300
9   0.6638   4.4012 277.8832   5.8103 6  -0.0031   0.0146   0.0577   0.0185   0.0000   0.0300   0.0000   0.0300
10   4.9948   3.8319 268.5135   4.1612 6  -0.0185   0.0125  -0.0099   0.0163   0.0000   0.0300   0.0000   0.0300
11 -23.3743   4.5461 279.1912   5.0113 6  -0.0574   0.0146  -0.0086   0.0206   0.0000   0.0300   0.0000   0.0300
12 -21.9865   4.4138 265.7251   5.8791 6  -0.0209   0.0173   0.0257   0.0185   0.0000   0.0300   0.0000   0.0300
13 -14.2249   3.3264 261.2350   4.9115 6   0.0015   0.0150   0.0187   0.0181   0.0000   0.0300   0.0000   0.0300
14   7.1436   3.7914 258.5315   4.4996 6  -0.0278   0.0158   0.0253   0.0181   0.0000   0.0300   0.0000   0.0300
15 -19.6445   3.9512 256.7054   5.3773 6  -0.0217   0.0150   0.0627   0.0185   0.0000   0.0300   0.0000   0.0300
16 -19.1953   5.0100 288.0900   5.1087 6  -0.0428   0.0160   0.0196   0.0175   0.0000   0.0300   0.0000   0.0300
17   5.4844   3.7471 237.2248   6.0386 6  -0.0210   0.0175   0.0155   0.0196   0.0000   0.0300   0.0000   0.0300
18 -13.9724   3.7267 236.9222   4.7408 6  -0.0041   0.0160  -0.0018   0.0218   0.0000   0.0300   0.0000   0.0300
