#  xbin | ybin | Vrms | eVrms | isGoodBin
   0.00000   -0.00000  282.21503    5.22140    1.00000
  -0.05176    0.19319  283.82083    5.47705    1.00000
  -0.24495    0.14142  282.29630    5.18555    1.00000
  -0.19319   -0.05176  284.58887    5.20262    1.00000
  -0.29671    0.33461  282.56003    5.45016    1.00000
  -0.10353    0.38637  280.25650    4.50395    1.00000
  -0.43813    0.08966  272.17429    5.81706    1.00000
  -0.48990    0.28284  257.44339    4.34533    1.00000
  -0.38637   -0.10353  277.88510    5.81031    1.00000
  -0.34848    0.52779  268.56693    4.16107    1.00000
   0.14142    0.24495  280.13809    5.00832    1.00000
   0.08966    0.43813  266.60367    5.87061    1.00000
  -0.15529    0.57956  261.60266    4.90774    1.00000
  -0.54166    0.47603  258.64035    4.49902    1.00000
   0.03789    0.63132  257.42865    5.37040    1.00000
   0.19319    0.05176  288.70502    5.10825    1.00000
  -0.40024    0.72098  237.29686    6.03751    1.00000
  -0.20706    0.77274  237.31290    4.73781    1.00000
  -0.68308    0.23108  253.66130    5.00638    1.00000
  -0.63132    0.03789  262.28079    5.52027    1.00000
  -0.59343    0.66921  245.66019    5.29351    1.00000
  -0.73485    0.42426  253.59831    5.66362    1.00000
  -0.01387    0.82450  237.57410    6.38275    1.00000
   0.28284    0.48990  262.41013    6.66223    1.00000
   0.33461    0.29671  267.96829    6.27734    1.00000
   0.23108    0.68308  251.43037    5.07912    1.00000
  -0.14142   -0.24495  283.39047    4.62204    1.00000
   0.05176   -0.19319  280.32556    5.04434    1.00000
  -0.57956   -0.15529  268.81445    5.01922    1.00000
  -0.33461   -0.29671  285.98605    4.33898    1.00000
   0.24495   -0.14142  289.37445    5.23747    1.00000
   0.38637    0.10353  272.21149    5.16609    1.00000
  -0.08966   -0.43813  289.43921    4.40720    1.00000
   0.10353   -0.38637  285.40326    4.91958    1.00000
  -0.52779   -0.34848  269.16122    4.85707    1.00000
   0.43813   -0.08966  277.83514    5.03231    1.00000
  -0.28284   -0.48990  276.32571    4.61409    1.00000
   0.29671   -0.33461  278.65634    5.31121    1.00000
  -0.82450   -0.01387  260.62866    4.32512    1.00000
  -0.87627    0.17932  257.61304    4.99200    1.00000
  -0.77274   -0.20706  260.51178    4.97894    1.00000
  -0.78661    0.61745  235.23502    6.12019    1.00000
  -0.92803    0.37250  262.20676    5.54969    1.00000
  -0.47603   -0.54166  266.82425    5.79989    1.00000
  -0.72098   -0.40024  254.83714    5.62001    1.00000
  -1.01769   -0.06563  258.65698    4.73776    1.00000
  -0.45200    0.91416  238.45064    4.77464    1.00000
  -1.06945    0.12755  249.64330    4.30343    1.00000
  -0.64519    0.86240  231.11720    6.13417    1.00000
  -0.97980    0.56569  246.54665    7.39597    1.00000
  -0.25882    0.96593  235.95934    5.98481    1.00000
  -0.96593   -0.25882  262.04697    4.05176    1.00000
  -0.83837    0.81063  228.35338    5.07446    1.00000
  -1.12122    0.32074  252.96202    4.62423    1.00000
   0.17932    0.87627  246.62369    6.77214    1.00000
  -0.06563    1.01769  236.85413    5.78859    1.00000
   0.47603    0.54166  253.83853    7.74090    1.00000
   0.52779    0.34848  260.69003    5.59798    1.00000
   0.42426    0.73485  243.52614    5.93625    1.00000
   0.57956    0.15529  258.93811    4.67140    1.00000
  -0.50377    1.10735  240.37990    7.54251    1.00000
  -0.69695    1.05558  216.46498    7.80582    1.00000
  -0.31058    1.15911  251.96080    5.06025    1.00000
  -1.03156    0.75887  230.32414    6.06998    1.00000
   0.12755    1.06945  235.08646    7.61423    1.00000
  -1.17298    0.51392  241.40677    6.70412    1.00000
  -0.89014    1.00382  222.23447    6.15418    1.00000
  -0.11740    1.21087  238.53824    6.35671    1.00000
   0.37250    0.92803  242.08922    6.30564    1.00000
  -1.22474    0.70711  238.18170    7.31359    1.00000
  -1.08332    0.95206  237.02095    6.15532    1.00000
  -0.55553    1.30053  227.02858    7.05734    1.00000
  -1.26264    0.07579  248.05971    8.52107    1.00000
  -0.74872    1.24877  219.31247    8.23369    1.00000
  -1.31440    0.26897  237.16919    7.40155    1.00000
  -0.36235    1.35230  242.16992    5.31319    1.00000
   0.07579    1.26264  219.33005    6.69483    1.00000
   0.32074    1.12122  246.52881    6.32946    1.00000
  -1.03799    1.17126  232.74329    6.48103    1.00000
  -0.07761    1.42859  234.74622    7.30330    1.00000
  -1.36617    0.46216  241.74901    6.03433    1.00000
  -1.21087   -0.11740  272.39734    5.59325    1.00000
  -1.27651    0.90029  225.25517    6.28435    1.00000
  -0.91416   -0.45200  259.89948    4.37014    1.00000
  -1.41793    0.65534  236.54196    5.46586    1.00000
  -1.15911   -0.31058  274.82748    5.88594    1.00000
  -0.66921   -0.59343  262.33206    4.98991    1.00000
  -0.62969    1.57730  236.35910    5.36886    1.00000
  -0.82202    1.52234  228.55890    6.82458    1.00000
  -0.43680    1.63015  232.80159    5.71367    1.00000
  -1.01684    1.47666  228.12314    6.52500    1.00000
  -1.35073    1.17727  240.82751    7.29418    1.00000
  -1.49267    0.93429  233.05783    5.90308    1.00000
  -1.20950    1.42295  234.38504    6.75278    1.00000
  -1.50759    0.21721  236.39108    8.81961    1.00000
  -1.55935    0.41039  243.47530    5.24707    1.00000
  -1.45582    0.02402  246.01009    8.72050    1.00000
  -1.61112    0.60358  229.67419    7.85386    1.00000
  -0.24355    1.68168  225.08298    8.49067    1.00000
   0.24704    1.39625  232.04742    5.84419    1.00000
   0.61745    0.78661  233.61420    6.81338    1.00000
   0.56569    0.97980  243.22040    6.63438    1.00000
  -0.05000    1.73208  220.64232    7.74986    1.00000
   0.51392    1.17298  238.79367    5.59695    1.00000
   0.66921    0.59343  243.23050    5.13428    1.00000
   0.44025    1.44792  229.48634    6.45284    1.00000
   0.72098    0.40024  254.52417    5.39333    1.00000
  -1.68572    0.88203  244.14760    4.94524    1.00000
  -1.40406   -0.16916  264.95618    5.26450    1.00000
   0.14402    1.78074  224.48959    8.15896    1.00000
  -1.59575    1.31897  216.90456    6.68614    1.00000
  -0.80616    1.85454  220.21085    6.66732    1.00000
  -1.45419    1.56339  228.21707    8.03138    1.00000
  -1.18820    1.75218  224.44649    6.83825    1.00000
  -0.42675    1.95621  224.08101    6.73902    1.00000
  -1.75254    0.35863  242.99248    6.68230    1.00000
  -1.89477    0.52757  238.19968    5.50609    1.00000
  -1.70077    0.16545  245.80655    7.37928    1.00000
  -1.78982    1.27052  230.38716    6.79061    1.00000
  -1.87967    0.83309  243.69708    4.86101    1.00000
  -1.64901   -0.02774  235.96700    6.03273    1.00000
  -1.35230   -0.36235  269.23465    6.09244    1.00000
  -1.10735   -0.50377  256.80701    6.75379    1.00000
  -1.59725   -0.22093  240.87434    5.07864    1.00000
  -0.86240   -0.64519  250.19113    5.53438    1.00000
  -0.90359    2.09624  229.63470    6.36438    1.00000
  -1.28543    1.99095  223.36540    6.85741    1.00000
  -1.77514    1.59490  222.93828    6.71006    1.00000
  -1.98243    1.21659  223.95172    9.20566    1.00000
  -1.94572    0.30687  250.82487    5.41326    1.00000
  -0.51505    2.19516  200.92755    8.25622    1.00000
  -0.03744    2.06052  222.82265    6.88287    1.00000
  -1.62604    1.97041  200.66010   10.43410    1.00000
  -2.07245    0.77983  237.50748    5.25826    1.00000
  -1.89396    0.11368  265.18402    5.28990    1.00000
   0.33545    1.83903  219.37390    7.32009    1.00000
  -1.29217    2.26546  207.10292    6.39630    1.00000
  -1.86786    1.83751  211.74225    6.89374    1.00000
  -0.90826    2.36926  210.34579    8.87000    1.00000
  -0.13323    2.30449  218.79042    6.65304    1.00000
   0.70711    1.22474  224.27562    9.27310    1.00000
   0.63322    1.50050  241.15051    7.73140    1.00000
   0.75887    1.03156  221.41261    8.22344    1.00000
  -0.51782    2.47469  187.16548    7.61283    1.00000
  -2.17614    1.16681  224.82693    6.95125    1.00000
  -2.20189    1.54123  227.25908    6.43702    1.00000
   0.52829    1.89210  229.28516    7.30341    1.00000
   0.30321    2.21286  241.54880    7.42442    1.00000
   0.81063    0.83837  237.03273    7.13966    1.00000
  -1.84219   -0.07950  255.68321    5.05255    1.00000
   0.86240    0.64519  245.87807    6.86373    1.00000
  -1.75547    2.31959  200.82629    8.48798    1.00000
  -2.26587    0.72894  239.08690    5.99737    1.00000
  -2.20392    1.81281  221.85286    5.06586    1.00000
  -2.16354    0.34702  258.83301    4.92184    1.00000
  -2.36922    1.11462  224.73569    6.63930    1.00000
  -1.54548   -0.41411  246.13953    5.76515    1.00000
  -2.06179   -0.03271  239.57042    5.15108    1.00000
  -1.79043   -0.27269  243.52995    4.64797    1.00000
  -1.30053   -0.55553  257.90765    6.42307    1.00000
  -1.42867    2.61255  216.38655    7.81090    1.00000
  -1.04101    2.71642  212.60855    7.27963    1.00000
  -0.01642    2.60628  193.10112   11.69401    1.00000
  -0.38075    2.71736  208.01302   11.99774    1.00000
  -0.72792    2.89692  227.60905    5.64778    1.00000
  -2.10690    2.19169  198.14380    9.19388    1.00000
  -2.05951    2.64749  207.78635   10.87580    1.00000
  -2.52913    1.45568  232.08563    4.74094    1.00000
  -2.45943    0.67857  249.28615    6.66291    1.00000
  -2.56201    1.06139  214.25931   11.93464    1.00000
  -2.35656    0.29466  250.63841    4.69687    1.00000
   0.26101    2.61698  204.54495    6.65540    1.00000
  -1.73998    2.82955  211.39220    7.79217    1.00000
   0.88721    1.68711  232.13618    5.84049    1.00000
   0.93653    1.49327  243.82002    7.83483    1.00000
   0.50491    2.47612  222.85399    6.44667    1.00000
   0.72168    1.94310  206.95943   11.22397    1.00000
   0.98974    1.30048  248.17708    5.68718    1.00000
   1.03945    1.10674  235.36050    6.50618    1.00000
   0.74883    2.33413  204.61043   10.96998    1.00000
  -0.07349    2.97688  191.66156   21.97472    1.00000
  -0.43077    3.14073  205.65233    8.91389    1.00000
  -1.17662    3.14603  219.29070    8.15032    1.00000
  -1.50470    3.09822  202.65984    8.75541    1.00000
  -2.38754    2.40677  193.76172   11.63631    1.00000
  -2.52315    1.94149  213.95679    6.50825    1.00000
   0.96117    2.03749  215.13803    9.38200    1.00000
   1.00382    0.89014  235.21317    9.29456    1.00000
  -2.81547    1.61812  239.96823    4.86241    1.00000
   0.31011    3.07767  204.12589    8.47374    1.00000
  -1.01262    3.48677  217.10896    6.95563    1.00000
  -2.19759    2.97658  187.86285   13.19821    1.00000
  -0.64469    3.50084  223.32159    5.23682    1.00000
   0.63209    2.84354  216.08675    9.41810    1.00000
  -1.50462    3.66171  200.73514   10.96389    1.00000
  -2.70550    2.65145  191.30380   10.83570    1.00000
  -2.82432    2.16527  221.64372    5.25557    1.00000
  -1.84158    3.28241  199.06781   15.70913    1.00000
  -0.04025    3.46164  214.31834    7.75291    1.00000
  -0.35973    3.79206  215.27805    7.48342    1.00000
  -3.13281    1.83801  224.72562    5.51729    1.00000
  -2.89517    1.01211  237.77638    6.67310    1.00000
  -2.97387    1.33403  206.77945    6.64541    1.00000
  -2.70459    0.82076  223.10269    7.33358    1.00000
  -2.71921    0.51372  232.44225    8.56228    1.00000
  -2.66463    0.32129  249.06610    4.83127    1.00000
  -2.25547   -0.08261  241.44778    4.38811    1.00000
  -0.73148    4.06012  201.15385   18.42251    1.00000
   1.09690    2.45983  217.54114    6.71174    1.00000
   1.23604    2.04888  208.99371   13.04170    1.00000
   0.97225    2.80729  219.98335    7.13188    1.00000
   1.27422    1.79081  222.07100    8.79912    1.00000
   0.37288    3.56583  195.62415   10.68564    1.00000
   0.76803    3.30207  204.61247    9.04248    1.00000
   1.32489    1.59734  231.94920    7.77509    1.00000
   1.37283    1.40313  234.13521    7.97042    1.00000
   1.05558    0.69695  244.92142    6.10093    1.00000
   0.91416    0.45200  243.72221    5.90994    1.00000
   1.19700    0.94190  242.09381    7.88027    1.00000
  -0.00992    4.05186  196.59866   15.97653    1.00000
   0.77274    0.20706  259.64780    5.00747    1.00000
   1.42645    1.21044  232.27814    6.43753    1.00000
   1.13760    3.09443  220.51236   10.00285    1.00000
   1.10735    0.50377  236.13185    6.23222    1.00000
   1.24877    0.74872  243.12302    6.44207    1.00000
   0.63132   -0.03789  264.83444    5.31496    1.00000
   0.96593    0.25882  252.15491    6.20629    1.00000
   1.47778    1.01714  227.71854    6.48745    1.00000
   1.54477    2.20495  214.34665    6.74076    1.00000
   1.48368    2.56190  196.89749   12.12679    1.00000
   1.66731    1.75300  206.64859    7.18244    1.00000
   1.49219    2.93363  217.23349    7.80886    1.00000
   0.82450    0.01387  260.35651    5.98626    1.00000
   1.30053    0.55553  229.21463    7.02436    1.00000
   1.52470    0.82265  229.81281    5.68677    1.00000
   1.15911    0.31058  231.99379    6.89818    1.00000
   0.48990   -0.28284  283.32394    4.79666    1.00000
   0.59658    3.93073  203.69936    9.13755    1.00000
   1.02911    3.70401  207.26808    8.98384    1.00000
   1.70259    1.37325  207.06291    8.39211    1.00000
   1.81722    2.20684  234.37225    8.65922    1.00000
   1.01769    0.06563  254.29758    6.79181    1.00000
   1.91026    1.88576  224.96175    8.91535    1.00000
   1.34670    3.45626  188.72099   23.55634    1.00000
   1.49372    0.60730  232.53419    8.30349    1.00000
   0.68308   -0.23108  275.78030    4.49710    1.00000
   1.35230    0.36235  237.36168    6.78530    1.00000
   1.80306    0.99831  229.76454    7.52031    1.00000
   1.89498    1.42797  201.40005    6.57094    1.00000
   1.21087    0.11740  239.25731    7.83502    1.00000
   0.87627   -0.17932  257.24051    5.57085    1.00000
   1.91806    2.70429  204.75641    6.56815    1.00000
  -0.12067    4.46443  199.46980    7.36972    1.00000
   1.71459    0.55574  228.55479    6.31801    1.00000
   1.54548    0.41411  241.58273    7.34472    1.00000
   0.15529   -0.57956  276.45889    5.56222    1.00000
  -0.03789   -0.63132  269.82037    5.22433    1.00000
   0.34848   -0.52779  269.87125    5.10657    1.00000
   1.06945   -0.12755  242.92099    6.46641    1.00000
   1.75585    3.18768  246.64276    5.89934    1.00000
   1.40406    0.16916  253.38068    6.34903    1.00000
   0.54166   -0.47603  266.26398    4.40684    1.00000
  -0.23108   -0.68308  258.86005    5.33426    1.00000
   0.47901    4.36883  201.09633    9.69542    1.00000
   1.99739    1.04579  222.92279    5.61089    1.00000
   2.13411    1.52910  225.55289    9.98407    1.00000
   2.16681    2.33682  205.59116    6.59067    1.00000
   0.73485   -0.42426  268.05243    4.97432    1.00000
   1.26264   -0.07579  247.05676    7.27309    1.00000
   1.90862    0.60435  234.89006    7.43436    1.00000
   2.24619    1.90905  209.56453   12.92926    1.00000
   1.59725    0.22093  236.97852    6.47484    1.00000
   1.07961    4.23457  211.40965    8.44510    1.00000
   1.66243    3.78090  208.20195    8.67046    1.00000
   2.25507    1.22541  221.16911    7.83882    1.00000
   0.92803   -0.37250  264.08749    4.11045    1.00000
   2.39254    2.68521  211.81920   10.61793    1.00000
   1.45582   -0.02402  250.99686    5.54748    1.00000
   2.10089    0.65953  234.83131    6.80244    1.00000
   2.20037    3.28749  199.19992   14.82266    1.00000
   2.48830    2.10484  211.33810    8.57149    1.00000
   2.40995    1.53617  220.24646    8.77041    1.00000
   2.30573    1.03193  222.74150    5.19069    1.00000
   1.79043    0.27269  238.82735    6.72686    1.00000
