# NGC3379 MGE
1.8365e+04     0.05    0.900
1.6218e+04     0.17    0.900
1.5205e+04     0.64    0.926
1.4689e+04     1.11    0.895
8.6896e+03     2.19    0.850
8.0724e+03     3.11    0.929
2.2594e+03     6.05    0.852
2.8510e+03     7.41    0.967
7.9799e+02     12.91    0.850
5.3456e+02     26.92    0.866
1.9364e+02     48.42    0.850
4.4157e+01     101.86    0.901
1.2823e+01     251.19    0.861
